project_id,project_name,project_type,country,state,district,land_area,land_type,land_price_per_acre,number_of_owners,compensation_status,compensation_percentage,legal_disputes,land_possession_status,land_possession_percentage,rehabilitation_status,rehabilitation_percentage,risk_score,delay_probability,risk_category,latitude,longitude
LAP-0121,River Logistics Park Project 121,Logistics Park,India,Maharashtra,Nagpur,323.11,Industrial,2500000.00,602,Not Started,26.28,5,Not Possessed,23.25,Not Started,30.59,78.16,0.64,High,21.124601,78.937131
LAP-0122,Eastern National Highway Project 122,National Highway,India,Odisha,Khordha,303.30,Agricultural,2500000.00,523,In Progress,54.75,5,Partially Possessed,82.59,In Progress,82.82,51.60,0.50,Medium,20.361554,85.945132
LAP-0123,Eastern Railway Corridor Project 123,Railway Corridor,India,Telangana,Rangareddy,94.22,Residential,2500000.00,157,In Progress,66.91,3,Partially Possessed,67.54,In Progress,66.52,46.95,0.42,Medium,17.530259,78.419312
LAP-0124,Samriddhi Industrial Corridor Project 124,Industrial Corridor,India,Uttar Pradesh,Lucknow,100.29,Industrial,2500000.00,182,In Progress,50.78,3,Partially Possessed,57.10,In Progress,57.70,52.59,0.47,Medium,26.793395,80.791549
LAP-0125,Deccan Solar Park Project 125,Solar Park,India,Rajasthan,Udaipur,207.53,Agricultural,2500000.00,332,Completed,97.19,0,Partially Possessed,88.65,In Progress,87.73,9.70,0.17,Low,24.682481,73.789030
LAP-0126,Bharat Logistics Park Project 126,Logistics Park,India,Odisha,Sundargarh,137.16,Industrial,2500000.00,257,In Progress,51.56,8,Partially Possessed,44.39,Not Started,20.35,80.51,0.63,High,22.208051,83.961190
LAP-0127,River Logistics Park Project 127,Logistics Park,India,Bihar,Gaya,78.84,Industrial,2500000.00,108,In Progress,89.39,1,Partially Possessed,76.69,Completed,100.00,30.32,0.24,Medium,24.794570,84.941273
LAP-0128,Samriddhi Irrigation Canal Project 128,Irrigation Canal,India,Madhya Pradesh,Bhopal,230.38,Agricultural,2500000.00,394,In Progress,52.57,3,Partially Possessed,44.11,In Progress,56.83,56.79,0.58,Medium,23.147152,77.333234
LAP-0129,National National Highway Project 129,National Highway,India,Uttar Pradesh,Lucknow,294.41,Agricultural,2500000.00,510,In Progress,59.03,3,Partially Possessed,82.26,In Progress,61.98,49.32,0.64,Medium,26.937921,80.792043
LAP-0130,Bharat Industrial Corridor Project 130,Industrial Corridor,India,Bihar,Patna,1007.92,Industrial,2500000.00,1729,In Progress,67.42,5,Partially Possessed,80.75,In Progress,66.10,57.97,0.53,Medium,25.833897,85.185216
LAP-0131,Greenfield Solar Park Project 131,Solar Park,India,Maharashtra,Nashik,168.78,Agricultural,2500000.00,311,In Progress,68.16,4,Partially Possessed,64.80,In Progress,52.27,53.70,0.62,Medium,19.938766,73.588609
LAP-0132,Samriddhi Transmission Line Project 132,Transmission Line,India,Telangana,Warangal,271.61,Barren,2500000.00,454,Not Started,20.43,3,Not Possessed,25.68,Not Started,15.90,80.34,0.70,High,18.012363,79.367543
LAP-0133,Greenfield Transmission Line Project 133,Transmission Line,India,Rajasthan,Udaipur,266.55,Barren,2500000.00,453,In Progress,53.37,1,Partially Possessed,66.85,In Progress,51.06,43.80,0.52,Medium,24.613805,73.833541
LAP-0134,Frontier National Highway Project 134,National Highway,India,Tamil Nadu,Tiruchirappalli,116.26,Agricultural,2500000.00,203,In Progress,36.89,7,Partially Possessed,40.63,In Progress,53.10,76.17,0.61,High,10.807892,78.572195
LAP-0135,River Solar Park Project 135,Solar Park,India,Rajasthan,Udaipur,59.04,Agricultural,2500000.00,78,In Progress,67.21,7,Partially Possessed,73.07,In Progress,73.54,51.43,0.21,Medium,24.475751,73.822360
LAP-0136,Bharat Industrial Corridor Project 136,Industrial Corridor,India,Maharashtra,Nashik,413.86,Industrial,2500000.00,682,In Progress,65.91,5,Partially Possessed,81.20,In Progress,79.76,63.14,0.69,High,19.708008,73.761930
LAP-0137,Frontier Logistics Park Project 137,Logistics Park,India,Uttar Pradesh,Lucknow,43.28,Industrial,2500000.00,71,In Progress,60.93,3,Partially Possessed,67.64,In Progress,72.37,34.64,0.30,Medium,26.739866,81.075533
LAP-0138,Greenfield Irrigation Canal Project 138,Irrigation Canal,India,Karnataka,Bengaluru Urban,555.26,Agricultural,2500000.00,937,In Progress,74.77,0,Partially Possessed,66.85,In Progress,90.65,15.92,0.17,Low,13.197056,77.608299
LAP-0139,Regional Industrial Corridor Project 139,Industrial Corridor,India,Bihar,Patna,99.72,Industrial,2500000.00,166,In Progress,51.22,8,Partially Possessed,36.54,In Progress,47.72,100.00,0.84,High,25.604219,85.206624
LAP-0140,National Logistics Park Project 140,Logistics Park,India,Tamil Nadu,Coimbatore,540.80,Industrial,2500000.00,947,In Progress,45.37,6,Not Possessed,29.30,Not Started,28.29,76.21,0.61,High,11.024236,76.858407
LAP-0141,Samriddhi Metro Rail Project 141,Metro Rail,India,Madhya Pradesh,Indore,383.63,Residential,2500000.00,657,In Progress,90.25,3,Partially Possessed,85.46,In Progress,84.34,41.98,0.35,Medium,22.726398,75.839825
LAP-0142,Deccan Transmission Line Project 142,Transmission Line,India,Uttar Pradesh,Lucknow,510.91,Barren,2500000.00,835,In Progress,64.91,5,Partially Possessed,60.44,In Progress,67.13,56.38,0.74,Medium,26.706318,80.923263
LAP-0143,Frontier Metro Rail Project 143,Metro Rail,India,Bihar,Muzaffarpur,78.36,Residential,2500000.00,143,In Progress,80.55,1,Partially Possessed,81.81,In Progress,72.38,47.85,0.41,Medium,26.069192,85.268252
LAP-0144,Coastal Logistics Park Project 144,Logistics Park,India,Odisha,Khordha,283.74,Industrial,2500000.00,485,In Progress,41.37,6,Not Possessed,32.56,Not Started,34.77,82.71,0.74,High,20.157266,85.997353
LAP-0145,Bharat Airport Expansion Project 145,Airport Expansion,India,Gujarat,Kutch,120.03,Commercial,2500000.00,196,In Progress,36.52,5,Not Possessed,24.71,In Progress,45.50,76.10,0.74,High,23.840221,69.987244
LAP-0146,Greenfield Railway Corridor Project 146,Railway Corridor,India,Rajasthan,Udaipur,222.14,Residential,2500000.00,400,In Progress,54.54,8,Partially Possessed,51.83,In Progress,51.15,76.70,0.71,High,24.477151,73.799054
LAP-0147,Eastern National Highway Project 147,National Highway,India,Rajasthan,Jaipur,66.13,Agricultural,2500000.00,123,In Progress,84.59,2,Partially Possessed,73.24,In Progress,65.30,30.62,0.33,Medium,26.807660,75.684481
LAP-0148,Samriddhi Transmission Line Project 148,Transmission Line,India,Maharashtra,Nashik,182.64,Barren,2500000.00,309,In Progress,75.59,5,Partially Possessed,71.55,In Progress,64.86,50.31,0.57,Medium,19.942770,73.777794
LAP-0149,Eastern Transmission Line Project 149,Transmission Line,India,Tamil Nadu,Chengalpattu,221.16,Barren,2500000.00,392,In Progress,94.85,2,Partially Possessed,70.26,In Progress,87.18,27.29,0.24,Low,12.707148,79.874144
LAP-0150,Eastern National Highway Project 150,National Highway,India,Odisha,Kalahandi,50.47,Agricultural,2500000.00,85,In Progress,72.13,3,Partially Possessed,74.60,In Progress,72.61,49.13,0.62,Medium,19.928291,83.115903
LAP-0151,National Airport Expansion Project 151,Airport Expansion,India,Tamil Nadu,Coimbatore,183.73,Commercial,2500000.00,285,In Progress,68.14,3,Partially Possessed,88.96,In Progress,71.70,48.12,0.52,Medium,11.110875,77.233496
LAP-0152,Frontier Transmission Line Project 152,Transmission Line,India,Bihar,Patna,238.63,Barren,2500000.00,427,In Progress,72.60,4,Partially Possessed,71.94,In Progress,67.74,44.02,0.50,Medium,25.533258,84.979646
LAP-0153,Greenfield Industrial Corridor Project 153,Industrial Corridor,India,Rajasthan,Udaipur,93.42,Industrial,2500000.00,180,In Progress,57.13,4,Partially Possessed,47.95,In Progress,52.84,68.54,0.75,High,24.576833,73.746014
LAP-0154,Eastern Industrial Corridor Project 154,Industrial Corridor,India,Tamil Nadu,Chengalpattu,70.13,Industrial,2500000.00,119,Completed,95.87,2,Partially Possessed,93.10,In Progress,88.08,35.18,0.37,Medium,12.586316,80.091812
LAP-0155,Frontier National Highway Project 155,National Highway,India,Karnataka,Mysuru,116.00,Agricultural,2500000.00,201,In Progress,63.87,5,Partially Possessed,63.84,In Progress,74.16,60.77,0.56,High,12.152997,76.688832
LAP-0156,Bharat National Highway Project 156,National Highway,India,Rajasthan,Kota,119.58,Agricultural,2500000.00,192,In Progress,59.81,2,Partially Possessed,82.99,In Progress,72.61,39.44,0.40,Medium,25.061161,75.566705
LAP-0157,Frontier Railway Corridor Project 157,Railway Corridor,India,Bihar,Gaya,150.05,Residential,2500000.00,228,In Progress,87.98,3,Partially Possessed,84.97,In Progress,74.04,35.65,0.18,Medium,24.781422,84.843963
LAP-0158,Greenfield Logistics Park Project 158,Logistics Park,India,Karnataka,Mysuru,65.56,Industrial,2500000.00,118,In Progress,60.94,6,Partially Possessed,66.41,In Progress,78.66,69.20,0.70,High,12.467652,76.596040
LAP-0159,Greenfield National Highway Project 159,National Highway,India,Uttar Pradesh,Lucknow,107.63,Agricultural,2500000.00,173,In Progress,35.00,5,Not Possessed,25.08,In Progress,60.77,69.55,0.48,High,26.795724,80.754709
LAP-0160,Bharat Railway Corridor Project 160,Railway Corridor,India,Karnataka,Bengaluru Urban,109.37,Residential,2500000.00,193,In Progress,66.42,5,Partially Possessed,57.22,In Progress,50.14,46.59,0.26,Medium,13.166198,77.712296
LAP-0161,Deccan National Highway Project 161,National Highway,India,Madhya Pradesh,Bhopal,174.27,Agricultural,2500000.00,289,In Progress,72.89,4,Partially Possessed,80.76,Completed,100.00,31.98,0.27,Medium,23.279499,77.182887
LAP-0162,Frontier Airport Expansion Project 162,Airport Expansion,India,Madhya Pradesh,Indore,103.92,Commercial,2500000.00,157,In Progress,83.12,5,Partially Possessed,75.80,In Progress,89.93,50.39,0.47,Medium,22.614004,75.791469
LAP-0163,River Irrigation Canal Project 163,Irrigation Canal,India,Gujarat,Ahmedabad,95.01,Agricultural,2500000.00,138,In Progress,43.86,6,Partially Possessed,36.10,In Progress,40.53,77.33,0.70,High,23.102382,72.573275
LAP-0164,Bharat Transmission Line Project 164,Transmission Line,India,Odisha,Sundargarh,33.00,Barren,2500000.00,70,In Progress,45.37,5,Partially Possessed,65.81,In Progress,60.13,68.12,0.55,High,22.182356,84.053496
LAP-0165,Deccan National Highway Project 165,National Highway,India,Bihar,Patna,237.26,Agricultural,2500000.00,412,In Progress,56.78,6,Partially Possessed,48.63,In Progress,64.36,66.84,0.66,High,25.621332,85.166855
LAP-0166,Greenfield Solar Park Project 166,Solar Park,India,Odisha,Kalahandi,165.79,Agricultural,2500000.00,283,In Progress,45.29,3,Partially Possessed,54.05,In Progress,55.27,51.07,0.37,Medium,19.942796,83.198612
LAP-0167,Samriddhi Airport Expansion Project 167,Airport Expansion,India,Rajasthan,Kota,185.76,Commercial,2500000.00,343,In Progress,62.83,5,Partially Possessed,72.72,In Progress,61.18,60.39,0.71,High,25.320617,75.866815
LAP-0168,Bharat Irrigation Canal Project 168,Irrigation Canal,India,Madhya Pradesh,Bhopal,223.43,Agricultural,2500000.00,375,In Progress,55.75,2,Partially Possessed,52.56,In Progress,59.13,46.53,0.53,Medium,23.144870,77.427817
LAP-0169,Coastal National Highway Project 169,National Highway,India,Karnataka,Mysuru,78.90,Agricultural,2500000.00,143,In Progress,44.91,3,Partially Possessed,41.65,In Progress,54.32,57.24,0.55,Medium,12.280942,76.651395
LAP-0170,Eastern Airport Expansion Project 170,Airport Expansion,India,Gujarat,Ahmedabad,205.50,Commercial,2500000.00,326,In Progress,78.74,4,Not Possessed,22.36,In Progress,44.26,64.34,0.71,High,22.891572,72.454442
LAP-0171,Bharat Transmission Line Project 171,Transmission Line,India,Tamil Nadu,Chengalpattu,36.74,Barren,2500000.00,75,Not Started,31.59,5,Partially Possessed,42.68,In Progress,53.76,63.40,0.54,High,12.782884,80.025766
LAP-0172,Frontier Industrial Corridor Project 172,Industrial Corridor,India,Bihar,Gaya,136.69,Industrial,2500000.00,203,Not Started,34.23,14,Not Possessed,34.64,Not Started,28.42,100.00,0.92,High,24.806133,84.931204
LAP-0173,Frontier Industrial Corridor Project 173,Industrial Corridor,India,Maharashtra,Pune,103.80,Industrial,2500000.00,165,In Progress,60.16,4,Partially Possessed,64.98,Not Started,26.96,64.72,0.55,High,18.678053,73.794777
LAP-0174,Greenfield National Highway Project 174,National Highway,India,Gujarat,Kutch,200.00,Agricultural,2500000.00,297,In Progress,42.88,9,Partially Possessed,42.15,In Progress,41.09,83.52,0.75,High,23.757180,69.847478
LAP-0175,Coastal National Highway Project 175,National Highway,India,Karnataka,Mysuru,38.64,Agricultural,2500000.00,71,In Progress,35.50,5,Not Possessed,32.18,In Progress,49.07,77.71,0.67,High,12.298170,76.637443
LAP-0176,Greenfield Irrigation Canal Project 176,Irrigation Canal,India,Odisha,Kalahandi,213.64,Agricultural,2500000.00,406,In Progress,94.27,1,Partially Possessed,77.70,In Progress,87.32,20.82,0.19,Low,19.809208,83.027504
LAP-0177,Eastern Solar Park Project 177,Solar Park,India,Karnataka,Mysuru,353.31,Agricultural,2500000.00,588,In Progress,41.82,8,Partially Possessed,58.38,In Progress,65.45,79.26,0.74,High,12.491372,76.522502
LAP-0178,Bharat Industrial Corridor Project 178,Industrial Corridor,India,Gujarat,Ahmedabad,98.19,Industrial,2500000.00,183,In Progress,62.90,1,Partially Possessed,79.55,In Progress,52.14,36.81,0.45,Medium,23.018703,72.667395
LAP-0179,Deccan National Highway Project 179,National Highway,India,Rajasthan,Kota,230.59,Agricultural,2500000.00,387,In Progress,52.67,5,Partially Possessed,67.49,In Progress,65.18,58.95,0.61,Medium,25.401327,75.892211
LAP-0180,Bharat Airport Expansion Project 180,Airport Expansion,India,Uttar Pradesh,Gautam Buddha Nagar,66.25,Commercial,2500000.00,114,In Progress,85.22,0,Partially Possessed,80.50,In Progress,79.99,26.98,0.36,Low,28.730326,77.174796
LAP-0181,Frontier Transmission Line Project 181,Transmission Line,India,Gujarat,Surat,116.19,Barren,2500000.00,198,In Progress,58.04,6,Partially Possessed,62.79,In Progress,56.89,57.39,0.61,Medium,21.211318,72.888854
LAP-0182,Eastern Airport Expansion Project 182,Airport Expansion,India,Maharashtra,Nagpur,126.74,Commercial,2500000.00,220,In Progress,67.71,5,Partially Possessed,55.20,In Progress,58.19,68.74,0.50,High,21.414579,79.133554
LAP-0183,Eastern Industrial Corridor Project 183,Industrial Corridor,India,Bihar,Muzaffarpur,765.83,Industrial,2500000.00,1312,In Progress,55.47,4,Partially Possessed,51.22,In Progress,64.52,58.64,0.56,Medium,26.044233,85.419469
LAP-0184,Samriddhi Railway Corridor Project 184,Railway Corridor,India,Gujarat,Ahmedabad,300.67,Residential,2500000.00,491,In Progress,49.03,3,Not Possessed,29.40,In Progress,58.11,65.83,0.56,High,22.756893,72.817406
LAP-0185,Regional Industrial Corridor Project 185,Industrial Corridor,India,Madhya Pradesh,Dhar,69.40,Industrial,2500000.00,97,In Progress,55.10,4,Partially Possessed,77.81,In Progress,62.81,47.52,0.41,Medium,22.307266,75.380083
LAP-0186,Bharat Transmission Line Project 186,Transmission Line,India,Telangana,Warangal,177.66,Barren,2500000.00,291,In Progress,79.86,4,Partially Possessed,63.08,In Progress,73.30,43.24,0.51,Medium,18.121743,79.675967
LAP-0187,Coastal Industrial Corridor Project 187,Industrial Corridor,India,Telangana,Nalgonda,93.70,Industrial,2500000.00,177,In Progress,79.47,0,Partially Possessed,76.81,In Progress,71.09,36.72,0.28,Medium,17.279413,79.108261
LAP-0188,River Irrigation Canal Project 188,Irrigation Canal,India,Maharashtra,Pune,145.09,Agricultural,2500000.00,243,In Progress,55.57,3,Partially Possessed,59.72,In Progress,72.83,48.58,0.40,Medium,18.472674,74.123990
LAP-0189,River Railway Corridor Project 189,Railway Corridor,India,Gujarat,Ahmedabad,401.10,Residential,2500000.00,692,In Progress,38.92,4,Partially Possessed,49.96,In Progress,54.98,66.53,0.51,High,22.713448,72.600077
LAP-0190,Deccan Irrigation Canal Project 190,Irrigation Canal,India,Karnataka,Belagavi,237.04,Agricultural,2500000.00,418,Not Started,28.31,2,Not Possessed,34.94,In Progress,44.78,68.66,0.67,High,15.751822,74.537488
LAP-0191,Samriddhi Industrial Corridor Project 191,Industrial Corridor,India,Karnataka,Mysuru,108.66,Industrial,2500000.00,197,In Progress,89.30,5,Partially Possessed,62.04,In Progress,56.57,56.18,0.51,Medium,12.300118,76.679681
LAP-0192,Deccan Metro Rail Project 192,Metro Rail,India,Tamil Nadu,Coimbatore,241.03,Residential,2500000.00,388,In Progress,52.95,2,Partially Possessed,63.09,In Progress,88.74,51.62,0.62,Medium,10.960964,76.931641
LAP-0193,Greenfield Logistics Park Project 193,Logistics Park,India,Odisha,Sundargarh,245.12,Industrial,2500000.00,439,In Progress,83.00,1,Partially Possessed,78.29,In Progress,71.90,43.00,0.39,Medium,22.193029,84.137189
LAP-0194,Coastal Transmission Line Project 194,Transmission Line,India,Gujarat,Kutch,166.85,Barren,2500000.00,293,In Progress,58.44,2,Partially Possessed,51.24,In Progress,65.68,53.04,0.45,Medium,23.797162,69.702562
LAP-0195,Samriddhi Transmission Line Project 195,Transmission Line,India,Karnataka,Mysuru,142.41,Barren,2500000.00,246,In Progress,63.94,5,Partially Possessed,65.85,In Progress,51.06,59.30,0.61,Medium,12.359855,76.625257
LAP-0196,Regional Logistics Park Project 196,Logistics Park,India,Tamil Nadu,Chengalpattu,127.01,Industrial,2500000.00,214,In Progress,60.23,2,Partially Possessed,57.84,In Progress,46.86,54.46,0.49,Medium,12.454792,80.110129
LAP-0197,Coastal Logistics Park Project 197,Logistics Park,India,Gujarat,Ahmedabad,40.91,Industrial,2500000.00,61,In Progress,82.11,4,Partially Possessed,74.13,In Progress,71.88,49.74,0.51,Medium,23.065987,72.438317
LAP-0198,Frontier Logistics Park Project 198,Logistics Park,India,Odisha,Sundargarh,56.81,Industrial,2500000.00,101,In Progress,86.65,1,Partially Possessed,80.56,In Progress,88.04,20.10,0.36,Low,22.032869,84.024582
LAP-0199,National Industrial Corridor Project 199,Industrial Corridor,India,Karnataka,Bengaluru Urban,45.59,Industrial,2500000.00,64,Completed,96.38,3,Partially Possessed,87.53,In Progress,80.40,34.02,0.29,Medium,12.905211,77.754870
LAP-0200,Frontier Transmission Line Project 200,Transmission Line,India,Bihar,Patna,601.24,Barren,2500000.00,1028,In Progress,85.90,2,Partially Possessed,83.69,Completed,100.00,21.91,0.24,Low,25.670512,85.106238
LAP-0201,Bharat Solar Park Project 201,Solar Park,India,Madhya Pradesh,Dhar,258.50,Agricultural,2500000.00,474,Not Started,34.18,7,Partially Possessed,74.66,In Progress,65.76,71.89,0.60,High,22.846988,75.493942
LAP-0202,Eastern Solar Park Project 202,Solar Park,India,Madhya Pradesh,Bhopal,84.48,Agricultural,2500000.00,156,In Progress,58.17,1,Partially Possessed,73.66,In Progress,73.05,28.76,0.20,Low,23.481394,77.513676
LAP-0203,Coastal Irrigation Canal Project 203,Irrigation Canal,India,Uttar Pradesh,Gautam Buddha Nagar,132.21,Agricultural,2500000.00,182,In Progress,72.45,4,Partially Possessed,71.61,In Progress,66.08,46.15,0.43,Medium,28.450395,77.304432
LAP-0204,Deccan Logistics Park Project 204,Logistics Park,India,Gujarat,Surat,698.26,Industrial,2500000.00,1237,In Progress,80.87,3,Partially Possessed,71.33,In Progress,48.89,51.82,0.48,Medium,21.208530,72.675970
LAP-0205,Regional Railway Corridor Project 205,Railway Corridor,India,Odisha,Khordha,262.33,Residential,2500000.00,466,In Progress,42.57,1,Partially Possessed,43.43,In Progress,56.51,49.95,0.48,Medium,20.253448,85.771469
LAP-0206,River National Highway Project 206,National Highway,India,Odisha,Kalahandi,350.87,Agricultural,2500000.00,564,In Progress,47.68,5,Partially Possessed,48.08,In Progress,44.29,62.28,0.51,High,19.683001,83.038754
LAP-0207,River Railway Corridor Project 207,Railway Corridor,India,Madhya Pradesh,Indore,51.87,Residential,2500000.00,98,In Progress,84.45,3,Partially Possessed,84.63,Completed,100.00,35.56,0.27,Medium,22.697429,75.928276
LAP-0208,Eastern National Highway Project 208,National Highway,India,Gujarat,Surat,91.17,Agricultural,2500000.00,147,In Progress,78.42,0,Partially Possessed,78.51,In Progress,79.00,25.38,0.11,Low,21.043336,72.727922
LAP-0209,Samriddhi Irrigation Canal Project 209,Irrigation Canal,India,Karnataka,Bengaluru Urban,117.23,Agricultural,2500000.00,187,In Progress,49.90,6,Partially Possessed,37.63,In Progress,41.95,73.84,0.71,High,13.025873,77.460190
LAP-0210,Eastern Metro Rail Project 210,Metro Rail,India,Telangana,Nalgonda,159.65,Residential,2500000.00,276,In Progress,64.76,7,Partially Possessed,57.40,In Progress,40.42,82.08,0.82,High,16.780538,79.273392
LAP-0211,Samriddhi Railway Corridor Project 211,Railway Corridor,India,Rajasthan,Jaipur,348.62,Residential,2500000.00,619,In Progress,60.41,4,Partially Possessed,61.22,In Progress,66.70,57.48,0.59,Medium,27.030268,75.825129
LAP-0212,Deccan National Highway Project 212,National Highway,India,Bihar,Patna,526.71,Agricultural,2500000.00,941,In Progress,69.93,2,Partially Possessed,84.71,In Progress,81.88,38.51,0.30,Medium,25.590138,85.395883
LAP-0213,Samriddhi National Highway Project 213,National Highway,India,Tamil Nadu,Coimbatore,47.05,Agricultural,2500000.00,81,In Progress,37.87,3,Partially Possessed,55.03,Not Started,8.85,70.51,0.59,High,11.260488,77.002545
LAP-0214,Samriddhi Metro Rail Project 214,Metro Rail,India,Telangana,Warangal,244.11,Residential,2500000.00,462,In Progress,39.52,11,Not Possessed,33.56,In Progress,36.72,100.00,0.96,High,17.898689,79.467612
LAP-0215,Coastal Metro Rail Project 215,Metro Rail,India,Odisha,Sundargarh,1399.36,Residential,2500000.00,2415,In Progress,75.76,2,Partially Possessed,83.85,In Progress,58.41,48.88,0.38,Medium,21.983335,84.169565
LAP-0216,Deccan Transmission Line Project 216,Transmission Line,India,Maharashtra,Nagpur,318.92,Barren,2500000.00,509,In Progress,75.04,3,Partially Possessed,69.87,In Progress,53.01,46.06,0.39,Medium,21.167059,79.085432
LAP-0217,Bharat Logistics Park Project 217,Logistics Park,India,Uttar Pradesh,Gautam Buddha Nagar,157.18,Industrial,2500000.00,274,In Progress,91.14,6,Partially Possessed,68.99,In Progress,54.68,57.59,0.46,Medium,28.520222,77.214770
LAP-0218,Bharat Logistics Park Project 218,Logistics Park,India,Tamil Nadu,Chengalpattu,453.16,Industrial,2500000.00,849,Completed,99.86,1,Partially Possessed,81.21,Completed,100.00,13.20,0.14,Low,12.604754,79.875668
LAP-0219,Greenfield Airport Expansion Project 219,Airport Expansion,India,Maharashtra,Nagpur,194.38,Commercial,2500000.00,297,In Progress,64.20,4,Partially Possessed,55.11,In Progress,46.46,59.85,0.62,Medium,20.903221,78.975356
LAP-0220,Deccan National Highway Project 220,National Highway,India,Uttar Pradesh,Prayagraj,69.61,Agricultural,2500000.00,112,In Progress,88.05,2,Partially Possessed,79.46,In Progress,77.39,28.40,0.36,Low,25.314359,81.880691
LAP-0221,Greenfield Logistics Park Project 221,Logistics Park,India,Tamil Nadu,Chengalpattu,125.86,Industrial,2500000.00,204,In Progress,46.45,5,Partially Possessed,65.33,In Progress,38.34,68.86,0.66,High,12.511037,79.878494
LAP-0222,Bharat Metro Rail Project 222,Metro Rail,India,Maharashtra,Nagpur,847.81,Residential,2500000.00,1427,In Progress,72.13,2,Partially Possessed,91.89,In Progress,63.70,52.93,0.45,Medium,21.202929,79.233154
LAP-0223,Greenfield National Highway Project 223,National Highway,India,Madhya Pradesh,Bhopal,63.34,Agricultural,2500000.00,114,In Progress,65.08,4,Partially Possessed,69.94,In Progress,74.14,48.29,0.63,Medium,22.945685,77.351814
LAP-0224,Coastal Airport Expansion Project 224,Airport Expansion,India,Karnataka,Belagavi,96.25,Commercial,2500000.00,196,In Progress,37.40,13,Not Possessed,27.28,In Progress,35.71,100.00,0.78,High,15.885000,74.684348
LAP-0225,National Irrigation Canal Project 225,Irrigation Canal,India,Odisha,Sundargarh,161.06,Agricultural,2500000.00,266,In Progress,70.15,3,Partially Possessed,68.79,In Progress,52.25,45.52,0.52,Medium,21.834127,84.057282
LAP-0226,Bharat Metro Rail Project 226,Metro Rail,India,Gujarat,Surat,616.64,Residential,2500000.00,1044,In Progress,72.51,3,Partially Possessed,62.65,In Progress,86.16,51.24,0.62,Medium,21.230131,72.797926
LAP-0227,Deccan Industrial Corridor Project 227,Industrial Corridor,India,Odisha,Khordha,285.70,Industrial,2500000.00,468,In Progress,89.56,3,Partially Possessed,81.66,In Progress,80.30,50.18,0.38,Medium,20.150109,85.857666
LAP-0228,Eastern Metro Rail Project 228,Metro Rail,India,Tamil Nadu,Tiruchirappalli,286.66,Residential,2500000.00,523,In Progress,73.43,3,Partially Possessed,91.30,Completed,95.39,43.83,0.42,Medium,10.803319,78.558184
LAP-0229,Regional Airport Expansion Project 229,Airport Expansion,India,Karnataka,Belagavi,498.37,Commercial,2500000.00,825,In Progress,36.96,5,Partially Possessed,44.21,In Progress,36.78,74.51,0.74,High,15.800340,74.691284
LAP-0230,Coastal Metro Rail Project 230,Metro Rail,India,Gujarat,Surat,1467.73,Residential,2500000.00,2496,In Progress,41.85,9,Partially Possessed,35.42,In Progress,49.28,92.87,0.84,High,21.078979,72.748172
LAP-0231,Greenfield Industrial Corridor Project 231,Industrial Corridor,India,Madhya Pradesh,Indore,307.14,Industrial,2500000.00,521,In Progress,55.67,8,Partially Possessed,49.46,In Progress,58.39,72.35,0.65,High,22.839768,76.093779
LAP-0232,Regional Airport Expansion Project 232,Airport Expansion,India,Telangana,Rangareddy,60.19,Commercial,2500000.00,82,In Progress,79.41,3,Partially Possessed,74.18,In Progress,63.33,42.60,0.46,Medium,17.160933,78.529819
LAP-0233,Regional Solar Park Project 233,Solar Park,India,Gujarat,Surat,123.86,Agricultural,2500000.00,174,In Progress,68.34,3,Partially Possessed,59.37,In Progress,66.22,35.67,0.54,Medium,21.147340,72.863736
LAP-0234,Greenfield Airport Expansion Project 234,Airport Expansion,India,Madhya Pradesh,Bhopal,286.05,Commercial,2500000.00,492,In Progress,83.78,1,Partially Possessed,71.52,Completed,100.00,29.79,0.34,Low,23.318996,77.548075
LAP-0235,National Logistics Park Project 235,Logistics Park,India,Maharashtra,Nagpur,232.64,Industrial,2500000.00,387,In Progress,85.17,2,Partially Possessed,89.06,In Progress,84.88,32.28,0.38,Medium,21.160817,78.960509
LAP-0236,Eastern Metro Rail Project 236,Metro Rail,India,Karnataka,Belagavi,315.22,Residential,2500000.00,568,In Progress,76.53,6,Partially Possessed,74.37,In Progress,65.93,64.71,0.54,High,15.967421,74.649797
LAP-0237,Samriddhi National Highway Project 237,National Highway,India,Telangana,Nalgonda,542.00,Agricultural,2500000.00,878,In Progress,58.00,2,Partially Possessed,52.84,In Progress,75.64,40.58,0.63,Medium,17.018690,79.200234
LAP-0238,Regional Transmission Line Project 238,Transmission Line,India,Madhya Pradesh,Bhopal,299.33,Barren,2500000.00,515,In Progress,53.67,3,Partially Possessed,56.38,In Progress,65.56,54.85,0.68,Medium,23.151607,77.545228
LAP-0239,Eastern Railway Corridor Project 239,Railway Corridor,India,Madhya Pradesh,Dhar,387.76,Residential,2500000.00,724,In Progress,79.64,2,Partially Possessed,73.92,In Progress,74.66,35.67,0.41,Medium,22.844897,75.478005
LAP-0240,Coastal Airport Expansion Project 240,Airport Expansion,India,Bihar,Patna,197.55,Commercial,2500000.00,316,In Progress,62.99,3,Partially Possessed,37.02,In Progress,49.27,66.96,0.65,High,25.553273,85.118276
